ลำดับที่,Client,Location,Project Name,Brand, QT No.,Business Unit,Project Type,Preriod,Remark, Cost to Cost method ©,Final actual margin(%) ,Total Revenue 2021,Actual Cost (A),Final actual margin(จำนวน) ,,
1,AB  (Thailand) Ltd,Thailand,SMART KID DRINK OVALTINE SMART  (QT20120049),OVALTINE ,QT20120049,BU2,PG & BA,28 Mar 21,, 100.00 , 37.49 ," 25,410.00 "," 15,884.15 "," 9,525.85 ",,
2,AB  (Thailand) Ltd,Thailand,Ovaltine Festive 2021,OVALTINE ,QT2110025,BU2,PG & BA,Nov 21 - Jan 22,, 64.10 , 32.71 ," 196,544.23 "," 132,259.45 "," 64,284.78 ",,
3,"CARE CO., LTD.",Thailand,Cacao Pc cheer Lotus's,Cacao,QT21110040,BU2,PG & BA,"4-5, 11-12 Dec 21",, 101.38 , 55.30 ," 49,137.50 "," 21,965.61 "," 27,171.89 ",,
4,"CARE CO., LTD.",Thailand,4Care Pc cheer Lotus's,Cacao,QT21110039,BU2,PG & BA,"4-5, 11-12 Dec 21",, 100.00 , 63.58 ," 76,417.50 "," 27,829.99 "," 48,587.51 ",,
5,"BD (Thailand) Co.,Ltd",Thailand,BDF Kick Off 2021 (QT20110055),Eucerin,QT20110055,BU1A,Event,Jan - Feb 21,, 100.00 , 46.02 ," 343,416.50 "," 185,388.80 "," 158,027.70 ",,
6,"BD (Thailand) Co.,Ltd",Thailand,BDF Kickoff 2021 [premium] (QT20110196),Eucerin,QT20110196,BU3A,Key Account,Jan - Feb 21,, 100.00 , 20.34 ," 329,657.90 "," 262,590.10 "," 67,067.80 ",,
7,"BD (Thailand) Co.,Ltd",Thailand,Eucerin NPD White Additional Cost,Eucerin,QT20100085,BU1A,Event,Nov 20- June 21,, 0.00 , 0.00 , 0.00 , 0.00 , 0.00 ,,
8,"BD (Thailand) Co.,Ltd",Thailand,Eucerin Polo,Eucerin,QT20120021,BU1B,Key Account,1 Jun 21,, 100.00 , 9.85 ," 66,000.00 "," 59,500.00 "," 6,500.00 ",,
9,"BD (Thailand) Co.,Ltd",Thailand,Eucerin PR Box,Eucerin,QT21070008,BU1B,Key Account,1 Jul 21,, 100.00 , 12.07 ," 114,615.60 "," 100,786.00 "," 13,829.60 ",,
10,"BD (Thailand) Co.,Ltd",Thailand,Eucerin Pharmacist Club Chiangmai ,Eucerin,QT20100035,BU1A,Event,f,, 0.00 ,,,, 0.00 ,,
11,"BD (Thailand) Co.,Ltd",Thailand,Eucerin internal training,Eucerin,QT21040025,BU1A,Key Account,on April 21,, 100.00 , 9.09 ," 11,340.21 "," 10,309.28 "," 1,030.93 ",,
12,"BD (Thailand) Co.,Ltd",Thailand,BDF - ค่าส่งไปรษณีย์,Eucerin,QT21050029,BU1A,Key Account,on May 21,, 100.00 , 66.56 ," 11,781.00 "," 3,939.00 "," 7,842.00 ",,
13,"BD (Thailand) Co.,Ltd",Thailand,Eucerin Event CU Academic,Eucerin,QT21090027,BU1A,Event,Sep - Nov 21,, 83.02 , 28.75 ," 57,224.73 "," 40,770.34 "," 16,454.39 ",,
14,"BD (Thailand) Co.,Ltd",Thailand,Eucerin WHT Booth @EVEANDBOY(Ngamwongwan&ZPELL) - Production,Eucerin,QT20110118,BU3A,Key Account,on June 21,, 0.00 , 0.00 , 0.00 , 0.00 , 0.00 ,,
15,"BD (Thailand) Co.,Ltd",Thailand,Covid protection equipment,Eucerin,QT21080022,BU3A,Key Account,21 Aug 24,, 100.00 , 13.10 ," 19,931.55 "," 17,319.59 "," 2,611.96 ",,
