No.,Client,Project,QT No.,Preriod,Project Type,P&L Type,BD,Revenue 2023,Total Cost 2023, Revenue Total Project,Cost Total Project,progress,Amount Margin,(%) 
1,MN (Thailand) Ltd., Enfa Nutrition for better IQ and EQ_Sep 23, QT23080040.1,1-30 Sep 23,3.1 Key Account,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,363197.84,340116.35,363197.84,340116.35,100.00,23081.49,6.36
2,บริษัท สยาม กรุ๊ป จำกัด ,Smooth E (Additional Commission Special Display (Aug 23), QT23090008,1-31 Aug 23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2B,22842.00,21150.00,22842.00,21150.00,100.00,1692.00,7.41
3,บริษัท ทีที จำกัด (มหาชน),Premium shop_special activity online & discount ,QT21080043,Jan - Dec 2022,1.2 Event,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1B,0.00,0.00,0.00,1779.56,0.00,-1779.56,0
4,"TC F&B CO., LTD",Tipco CVS BKK on 1 - 31 January 2023,QT22010037.10,1-31 Jan 2023,2.2 Merchandiser & RO,จัดเรียงสินค้า,BU2A,458632.80,334397.54,458632.80,334397.54,100.00,124235.26,27.09
5,"TC F&B CO., LTD",Tipco CVS BKK on 1 - 28 February 2023,QT22010037.11,1 -28 Feb 2023,2.2 Merchandiser & RO,จัดเรียงสินค้า,BU2A,446040.00,367708.65,446040.00,367708.65,100.00,78331.35,17.56
6,"TC F&B CO., LTD",Tipco CVS BKK on 1 - 31 March 2023,QT22010037.12,1-31 Mar 23,2.2 Merchandiser & RO,จัดเรียงสินค้า,BU2A,446040.00,329741.72,446040.00,329741.72,100.00,116298.28,26.07
7,"TC F&B CO., LTD",Tipco Merchandiser Share Service on 1-31 January 23,QT22010049.10,1-31 Jan 2023,2.3 Merchandiser&RO Share service,จัดเรียงสินค้า,BU2A,866699.46,703210.41,866699.46,703210.41,100.00,163489.05,18.86
8,"TC F&B CO., LTD",Tipco Merchandiser Share Service on 1-28 February 23,QT22010049.11,1 -28 Feb 2023,2.3 Merchandiser&RO Share service,จัดเรียงสินค้า,BU2A,866699.46,671708.65,866699.46,671708.65,100.00,194990.81,22.5
9,"TC F&B CO., LTD",Tipco Merchandiser Share Service on 1-31 March 23,QT22010049.12,1-31 Mar 23,2.3 Merchandiser&RO Share service,จัดเรียงสินค้า,BU2A,865964.92,752125.65,865964.92,752125.65,100.00,113839.27,13.15
10,FC (Thailand) PCL.,Foremost Warehouse on Jan 23,QT22010058.12,1-31 Jan 2023,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,13439.97,4080.74,13439.97,4080.74,100.00,9359.23,69.64
11,บริษัท แกล็ก  เฮลธ์แคร์ (ประเทศไทย) จำกัด,Insurance for PG GSK Permanent 2022 ,QT22010065,Feb 2022 - Jan 2023,3.3 Key Account,พนักงานแนะนำสินค้า,BU2A,2936.89,2721.36,35242.90,32039.00,100.00,3203.90,9.09
12,บริษัท สยาม กรุ๊ป จำกัด ,Smooth E  Merchandiser share on Jan 23,QT22050030.16,1-31 Jan 2023,2.3 Merchandiser&RO Share service,จัดเรียงสินค้า,BU2B,183027.60,147889.89,183027.60,147889.89,100.00,35137.71,19.2
13,บริษัท สยาม กรุ๊ป จำกัด ,"Smooth E PC Permanent & Weekend , Merchandiser BKK UPC 16 Dec 22 - 15 Jan 23",QT22050030.6,16 Dec 2022 - 15 Jan 2023,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2B,924027.38,728029.42,1850997.28,1513708.99,100.00,337288.29,18.22
14,บริษัท สยาม กรุ๊ป จำกัด ,"Smooth E PC Permanent & Weekend, Merchandiser BKK UPC (16 - 31 Jan 23)",QT22050030.7,16 -31 Jan 2023,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2B,928777.62,758781.67,928777.62,758781.67,100.00,169995.95,18.3
