ลำดับที่,Business Unit,No.,Business Code,Status,Job,QT No.,Project Name,Client/Owner,Remark Status,Start date,End date,Year,Sale Name,Quater,Project,Project Name2,Customer Status,Brand/Product, Budget Amount ,Business Type,add by,หมวดธุรกิจ,add date,edit by,edit date,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Amount,,,,,,,
1,BU 1.1,260,1,IC. APPROVED & AWAITING  PROCESS PROJECTS,Event,QT20100035,Eucerin Pharmacist Traning workshop,"BD (Thailand) Co.,Ltd",Got PO,01-06-22,30-06-22,2022,Piriya Limteerayos,Q2,,Eucerin Pharmacist Traning workshop,Existing,Eucerin,,ของใช้ส่วนตัวและเวชภัณฑ์,Piriya,เวชสำอางค์,10-03-21,Piriya,,,,,,,,,,,,,," 161,432.39 ",,,,,,,
2,BU 1.1,261,1,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Event,QT20100036,Eucerin lunch box Transportation,"BD (Thailand) Co.,Ltd",Got PO,17-03-21,17-03-21,2021,Piriya Limteerayos,Q1,,Eucerin lunch box Transportation,Existing,Eucerin,,ของใช้ส่วนตัวและเวชภัณฑ์,Piriya,เวชสำอางค์,10-03-21,Piriya,,,," 13,076.25 ",,,,,,,,,," 13,076.25 ",,,,,,,
3,BU 1.1,262,3,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Logistic,QT20100037,Warehouse  Garnier  2021 _ 200 SQM. Jan - Dec 2021,บริษัท ครีม (ประเทศไทย) จำกัด,Got PO,01-01-21,31-12-21,2021,Piriya Limteerayos,Q1,,,Existing,Garnier, 0.00 ,ของใช้ส่วนตัวและเวชภัณฑ์,Chanatinad,บำรุงผิวหน้า,12-10-20,Arisa,05-01-21,,,,,,,,,,,,, 0.00 ,,,,,,,
4,BU 1.1,269,3,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Logistic,QT20100037.1,Warehouse Garnier 2021 _ 200 SQM. (JANUARY),บริษัท ครีม (ประเทศไทย) จำกัด,Got PO,01-01-21,31-01-21,2021,Piriya Limteerayos,Q1,44512020,Warehouse Garnier 2021 _ 200 SQM. (JANUARY),Existing,Garnier," 26,000.00 ",ของใช้ส่วนตัวและเวชภัณฑ์,Chanatinad,บำรุงผิวหน้า,06-11-20,RAWISARA,03-02-21," 43,200.00 ",,,,,,,,,,,," 43,200.00 ",,,,,,,
5,BU 1.1,8,3,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Logistic,QT20100037.2,Warehouse Garnier 2021 _ 200 SQM.(FEBRUARY),บริษัท ครีม (ประเทศไทย) จำกัด,Got PO,01-02-21,28-02-21,2021,Piriya Limteerayos,Q1,44522020,Warehouse Garnier 2021 _ 200 SQM.(FEBRUARY),Existing,Garnier," 26,000.00 ",ของใช้ส่วนตัวและเวชภัณฑ์,Chanatinad,บำรุงผิวหน้า,06-11-20,RAWISARA,03-03-21,," 43,200.00 ",,,,,,,,,,," 43,200.00 ",,,,,,,
6,BU 1.1,9,3,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Logistic,QT20100037.3,Warehouse Garnier 2021 _ 200 SQM.(MARCH),บริษัท ครีม (ประเทศไทย) จำกัด,Got PO,01-03-21,31-03-21,2021,Piriya Limteerayos,Q1,44532020,Warehouse Garnier 2021 _ 200 SQM.(MARCH),Existing,Garnier," 26,000.00 ",ของใช้ส่วนตัวและเวชภัณฑ์,Chanatinad,บำรุงผิวหน้า,06-11-20,RAWISARA,30-03-21,,," 43,200.00 ",,,,,,,,,," 43,200.00 ",,,,,,,
7,BU 1.1,10,3,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Logistic,QT20100037.4,Warehouse Garnier 2021 _ 200 SQM.(APRIL),บริษัท ครีม (ประเทศไทย) จำกัด,Got PO,01-04-21,30-04-21,2021,Piriya Limteerayos,Q2,44542020,Warehouse Garnier 2021 _ 200 SQM.(APRIL),Existing,Garnier," 26,000.00 ",ของใช้ส่วนตัวและเวชภัณฑ์,Chanatinad,บำรุงผิวหน้า,06-11-20,RAWISARA,30-04-21,,,," 43,200.00 ",,,,,,,,," 43,200.00 ",,,,,,,
8,BU 1.1,11,3,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Logistic,QT20100037.5,Warehouse Garnier 2021 _ 200 SQM.(MAY),บริษัท ครีม (ประเทศไทย) จำกัด,Got PO,01-05-21,31-05-21,2021,Piriya Limteerayos,Q2,44552020,Warehouse Garnier 2021 _ 200 SQM.(MAY),Existing,Garnier," 26,000.00 ",ของใช้ส่วนตัวและเวชภัณฑ์,Chanatinad,บำรุงผิวหน้า,06-11-20,RAWISARA,30-04-21,,,,," 43,200.00 ",,,,,,,," 43,200.00 ",,,,,,,
9,BU 1.1,12,3,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Logistic,QT20100037.6,Warehouse Garnier 2021 _ 200 SQM.(JUNE),บริษัท ครีม (ประเทศไทย) จำกัด,Got PO,01-06-21,30-06-21,2021,Piriya Limteerayos,Q2,44562020,Warehouse Garnier 2021 _ 200 SQM.(JUNE),Existing,Garnier," 26,000.00 ",ของใช้ส่วนตัวและเวชภัณฑ์,Chanatinad,บำรุงผิวหน้า,06-11-20,RAWISARA,10-02-21,,,,,," 43,200.00 ",,,,,,," 43,200.00 ",,,,,,,
10,BU 1.1,13,3,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Logistic,QT20100037.7,Warehouse Garnier 2021 _ 200 SQM.(JULY),บริษัท ครีม (ประเทศไทย) จำกัด,Got PO,01-07-21,31-07-21,2021,Piriya Limteerayos,Q3,44572020,Warehouse Garnier 2021 _ 200 SQM.(JULY),Existing,Garnier," 26,000.00 ",ของใช้ส่วนตัวและเวชภัณฑ์,Chanatinad,บำรุงผิวหน้า,06-11-20,RAWISARA,10-02-21,,,,,,," 43,200.00 ",,,,,," 43,200.00 ",,,,,,,
