ลำดับที่,BU,Job,QT, Project Name,Client/Owner,Status,Amount Rev,Start date,End date,Year,month-ended,Quarter,Business unit,monthyear, Value ,Cr.Term range,,,,,,,,,,,
1,BU 1.1,1.1 Booth & Roadshow,QT22050090,dtac Premium shop [Mar 23],บริษัท ทีที จำกัด (มหาชน),IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 62,334.00 ",01-03-23,31-03-23,2023,3,Q1,BU1B,Jan," 944,190.00 ",30-60 วัน,,,,,,,,,,,
2,BU 1.1,1.1 Booth & Roadshow,QT22050091,dtac Premium shop [Apr 23],บริษัท ทีที จำกัด (มหาชน),IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 62,334.00 ",01-04-23,30-04-23,2023,4,Q2,BU1B,Jan," 944,190.00 ",30-60 วัน,,,,,,,,,,,
3,BU 1.1,1.1 Booth & Roadshow,QT22060039.8,Recruit Graphic Oral-B FY2223 on Feb 23, Trading (Thailand) Ltd.,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 17,010.00 ",01-02-23,28-02-23,2023,2,Q1,BU1A,Jan," 1,417,770.00 ",60-150 วัน,,,,,,,,,,,
4,BU 1.1,1.1 Booth & Roadshow,QT22060039.9,Recruit Graphic Oral-B FY2223 on Mar 23, Trading (Thailand) Ltd.,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 17,010.00 ",01-03-23,31-03-23,2023,3,Q1,BU1A,Feb," 948,348.00 ",60-150 วัน,,,,,,,,,,,
5,BU 1.1,1.1 Booth & Roadshow,QT22060041.10,Recruit Graphic Haircare FY2223 on April 23, Trading (Thailand) Ltd.,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 20,979.00 ",01-04-23,30-04-23,2023,4,Q2,BU1A,Feb," 20,979.00 ",60-150 วัน,,,,,,,,,,,
6,BU 1.1,1.1 Booth & Roadshow,QT22060041.11,Recruit Graphic Haircare FY2223 on May 23, Trading (Thailand) Ltd.,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 20,979.00 ",01-05-23,31-05-23,2023,5,Q2,BU1A,Mar," 20,979.00 ",60-150 วัน,,,,,,,,,,,
7,BU 1.1,1.1 Booth & Roadshow,QT22060041.12,Recruit Graphic Haircare FY2223 on June 23, Trading (Thailand) Ltd.,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 20,979.00 ",01-06-23,30-06-23,2023,6,Q2,BU1A,Apr," 20,979.00 ",60-150 วัน,,,,,,,,,,,
8,BU 1.1,1.1 Booth & Roadshow,QT22060047.10,Neurobian Warehouse Rental on April 23, Trading (Thailand) Ltd.,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 3,240.00 ",01-04-23,30-04-23,2023,4,Q2,BU1A,Jun," 17,010.00 ",60-150 วัน,,,,,,,,,,,
9,BU 1.1,1.1 Booth & Roadshow,QT22060047.7,Neurobian Warehouse Rental on Jan 23, Trading (Thailand) Ltd.,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 3,240.00 ",01-01-23,31-01-23,2023,1,Q1,BU1A,Feb," 20,979.00 ",60-150 วัน,,,,,,,,,,,
10,BU 1.1,1.1 Booth & Roadshow,QT22060047.8,Neurobian Warehouse Rental on Feb 23, Trading (Thailand) Ltd.,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 3,240.00 ",01-02-23,28-02-23,2023,2,Q1,BU1A,Mar," 20,979.00 ",60-150 วัน,,,,,,,,,,,
